store_name,store_id,date,total_signals,unique_visits,student,honda,addidas,retired,bmw,employed,h_&_m,mercedes-benz,job_seeking,tommy_helfinger,apple,male,female,low_income,middle_income,high_income
Rewe,place_203,2021-01-15,6,4,1,0,1,0,0,0,0,4,0,0,0,6,0,3,2,1
Kaufland,place_225,2021-01-08,6,4,0,2,0,0,0,0,0,0,0,0,0,6,0,0,4,2
Rewe,place_203,2021-01-12,6,2,0,0,0,0,6,0,0,0,0,0,0,1,5,1,0,0
Rewe,place_159,2021-01-13,6,1,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
Rewe,place_171,2021-01-13,6,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3
Rewe,place_191,2021-01-02,6,4,0,0,0,0,0,0,1,0,3,0,0,6,0,0,6,0
Kaufland,place_213,2021-01-08,6,4,0,0,0,1,0,0,0,0,1,0,1,5,1,1,5,0
Kaufland,place_224,2021-01-14,6,5,0,3,0,0,0,0,1,1,0,2,0,5,1,4,1,1
Kaufland,place_225,2021-01-04,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3
Kaufland,place_224,2021-01-13,6,4,0,0,0,0,3,0,0,1,0,0,1,5,1,0,3,3
Kaufland,place_215,2021-01-21,6,4,0,0,0,0,0,1,0,0,1,0,0,6,0,2,3,1
Kaufland,place_220,2021-01-20,6,2,0,0,0,0,0,0,0,5,0,0,0,6,0,1,5,0
Kaufland,place_216,2021-01-09,6,5,0,0,2,0,0,0,0,0,0,0,0,6,0,2,2,2
Kaufland,place_221,2021-01-16,6,4,4,3,3,0,0,0,0,1,3,0,0,6,0,4,1,1
Kaufland,place_216,2021-01-19,6,3,0,0,1,0,0,0,0,4,0,0,0,6,0,0,5,1
Aldi,place_135,2021-01-04,6,2,0,0,0,0,0,0,0,5,0,0,0,6,0,5,0,1
Kaufland,place_223,2021-01-04,6,4,0,0,0,0,2,1,0,0,0,0,0,6,0,0,5,1
Rewe,place_138,2021-01-20,6,1,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6
Kaufland,place_216,2021-01-02,6,4,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0
Kaufland,place_223,2021-01-19,6,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,1
Kaufland,place_214,2021-01-05,6,6,1,1,0,0,0,0,0,1,0,0,1,6,0,0,5,1
Kaufland,place_227,2021-01-05,6,3,0,0,0,0,0,1,0,0,0,0,1,6,0,0,5,1
Kaufland,place_215,2021-01-06,6,3,1,3,0,2,0,1,0,3,0,0,0,6,0,0,2,4
Kaufland,place_217,2021-01-13,6,4,1,1,0,0,0,0,0,0,0,0,0,3,3,0,5,1
Kaufland,place_224,2021-01-06,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1
Rewe,place_203,2021-01-05,6,1,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0
